tipo,n_registros,n_termos,n_topicos,perplexidade,log_likelihood
TCC,95802,3000,10,744.7626767776491,-6272155.467555188
TCC,95802,3000,11,710.2431411378851,-6227143.738511764
TCC,95802,3000,12,704.2505064567421,-6219107.304575375
TCC,95802,3000,13,692.0565690185654,-6202541.28984076
TCC,95802,3000,14,674.9831193364829,-6178849.017465903
TCC,95802,3000,15,678.5398977838704,-6183833.684418497
TCC,95802,3000,16,670.2660774286971,-6172197.622279128
TCC,95802,3000,17,648.757048817042,-6141262.569244414
TCC,95802,3000,18,646.2999716979124,-6137663.63098012
TCC,95802,3000,19,635.361574283103,-6121474.077628832
TCC,95802,3000,20,622.5157403448893,-6102101.692442927
Artigo,294005,3000,30,892.0454431872786,-13850731.311962858
Projeto,269387,3000,30,1150.6388278795876,-75849439.9185856
